vote_2020,vote_intention,registration,age,gender,education,state,household_income,agegroup,race
Donald Trump,"Yes, I will vote",Registered,49,Female,Associate Degree,WI,"$75,000 to $79,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,46,Female,"College Degree (such as B.A., B.S.)",VA,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,75,Female,High school graduate,TX,"$65,000 to $69,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,52,Female,High school graduate,WA,"Less than $14,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,21,Female,"Completed some college, but no degree",MA,"$80,000 to $84,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,38,Female,"Completed some college, but no degree",TX,"Less than $14,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,69,Female,"Completed some college, but no degree",CA,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,59,Female,"College Degree (such as B.A., B.S.)",NC,"$100,000 to $124,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,74,Female,"College Degree (such as B.A., B.S.)",MD,"$20,000 to $24,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,55,Female,"Completed some college, but no degree",FL,"$60,000 to $64,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,62,Female,High school graduate,WV,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,42,Female,High school graduate,OH,"$30,000 to $34,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,81,Female,"College Degree (such as B.A., B.S.)",NY,"$30,000 to $34,999",above 80,White
Joe Biden,"Yes, I will vote",Registered,22,Female,"Completed some college, but no degree",KY,"$40,000 to $44,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,71,Male,"College Degree (such as B.A., B.S.)",IN,"$150,000 to $174,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,41,Male,"College Degree (such as B.A., B.S.)",WA,"Less than $14,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,71,Female,"College Degree (such as B.A., B.S.)",IA,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,55,Female,"College Degree (such as B.A., B.S.)",SC,"$75,000 to $79,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,68,Male,Associate Degree,MN,"$85,000 to $89,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,69,Female,"Completed some college, but no degree",GA,"$90,000 to $94,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,33,Female,Masters degree,PA,"$75,000 to $79,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,70,Female,"College Degree (such as B.A., B.S.)",NJ,"$60,000 to $64,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,32,Female,Associate Degree,VA,"$30,000 to $34,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,77,Female,"Completed some college, but no degree",SC,"$100,000 to $124,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,65,Female,Associate Degree,TX,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,22,Female,"Completed some college, but no degree",FL,"Less than $14,999",21 to 35,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,63,Female,Masters degree,AZ,"$65,000 to $69,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,79,Male,Masters degree,IL,"$45,000 to $49,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,70,Male,"Completed some college, but no degree",OH,"$75,000 to $79,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,54,Female,Masters degree,OH,"$80,000 to $84,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,72,Male,"Completed some college, but no degree",CA,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,40,Female,Completed some high school,FL,"$20,000 to $24,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,69,Female,"College Degree (such as B.A., B.S.)",NC,"$65,000 to $69,999",65 to 80,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,37,Male,"College Degree (such as B.A., B.S.)",TX,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,36,Female,Doctorate degree,FL,"$150,000 to $174,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,40,Female,"College Degree (such as B.A., B.S.)",TX,"$95,000 to $99,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,41,Female,"College Degree (such as B.A., B.S.)",NJ,"$80,000 to $84,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,72,Female,"Completed some college, but no degree",OR,"Less than $14,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,55,Female,"College Degree (such as B.A., B.S.)",PA,"$25,000 to $29,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,80,Female,"College Degree (such as B.A., B.S.)",PA,"$100,000 to $124,999",65 to 80,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,66,Female,"Completed some college, but no degree",NC,"$80,000 to $84,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,40,Female,High school graduate,TX,"$35,000 to $39,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,31,Male,Masters degree,VA,"$75,000 to $79,999",21 to 35,other asian or pacific islander
Donald Trump,"Yes, I will vote",Registered,69,Male,Masters degree,OH,"$95,000 to $99,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,31,Female,"College Degree (such as B.A., B.S.)",CA,"$125,000 to $149,999",21 to 35,Chinese
Joe Biden,"Yes, I will vote",Registered,51,Female,Masters degree,IL,"$85,000 to $89,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,78,Female,"College Degree (such as B.A., B.S.)",NC,"$100,000 to $124,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,58,Female,High school graduate,MI,"$50,000 to $54,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,19,Female,Masters degree,CA,"$150,000 to $174,999",20 or less,White
Joe Biden,"Yes, I will vote",Registered,41,Female,"Completed some college, but no degree",MI,"$65,000 to $69,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,39,Male,Completed some high school,CT,"$30,000 to $34,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,63,Female,"College Degree (such as B.A., B.S.)",NC,"$50,000 to $54,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,73,Female,Associate Degree,CT,"$45,000 to $49,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,38,Female,Masters degree,NC,"$40,000 to $44,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,69,Female,Associate Degree,OR,"$30,000 to $34,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,61,Female,Masters degree,IL,"$100,000 to $124,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,54,Female,Masters degree,CA,"$30,000 to $34,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,70,Female,Masters degree,FL,"$150,000 to $174,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,53,Female,"College Degree (such as B.A., B.S.)",IA,"$35,000 to $39,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,52,Female,Masters degree,GA,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,63,Female,Masters degree,NY,"$75,000 to $79,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,63,Female,Associate Degree,WA,"$25,000 to $29,999",50 to 65,White
